time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-10T06:43:35.090Z,42.9679,-1.7451,6.29,4.3,mb,,66,3.688,0.54,us,us10008831,2017-03-10T14:38:32.613Z,"13km NNW of Berriobeiti, Spain",earthquake,7.1,3.3,0.148,13,reviewed,us,us
2017-03-10T06:22:20.380Z,-30.5622,-72.101,14.29,5.1,mwr,,84,0.416,0.88,us,us1000882x,2017-03-10T06:56:23.066Z,"86km W of Ovalle, Chile",earthquake,5.8,3.4,0.034,84,reviewed,us,us
2017-03-10T06:18:12.110Z,4.383,-77.5609,40.09,4.4,mb,,105,2.72,0.94,us,us1000885w,2017-03-10T14:19:17.040Z,"25km WNW of Santa Genoveva de Docorodo, Colombia",earthquake,5,13.9,0.149,13,reviewed,us,us
2017-03-10T06:15:13.830Z,-5.7605,153.9992,10,4.4,mb,,97,2.403,1.07,us,us1000882w,2017-03-10T09:42:30.040Z,"175km WNW of Panguna, Papua New Guinea",earthquake,6.7,1.9,0.126,18,reviewed,us,us
2017-03-10T06:01:17.210Z,17.5044,-62.801,104.75,4.5,mb,,102,0.172,0.64,us,us1000882u,2017-03-10T13:31:10.167Z,"10km N of Dieppe Bay Town, Saint Kitts and Nevis",earthquake,6.2,5.4,0.044,151,reviewed,us,us
2017-03-10T05:39:36.639Z,61.1435,-147.5242,16.3,1.7,ml,,,,0.59,ak,ak15456284,2017-03-10T05:43:41.263Z,"63km W of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-03-10T05:34:17.420Z,37.6206665,-122.4733353,8.44,2.18,md,48,67,0.01654,0.06,nc,nc72772331,2017-03-10T13:45:19.941Z,"1km ENE of Pacifica, California",earthquake,0.18,0.29,0.13,43,automatic,nc,nc
2017-03-10T05:25:51.160Z,34.157,-117.4288333,6.68,0.49,ml,25,67,0.07069,0.12,ci,ci37823712,2017-03-10T15:02:43.700Z,"7km NNE of Fontana, CA",earthquake,0.18,0.42,0.104,3,reviewed,ci,ci
2017-03-10T05:24:53.460Z,39.8751,143.0326,27.39,4.4,mwr,,143,1.759,0.51,us,us1000882n,2017-03-10T09:15:28.040Z,"96km ENE of Miyako, Japan",earthquake,6.8,5.5,0.073,18,reviewed,us,us
2017-03-10T05:19:24.940Z,33.7065,-116.7285,18.27,0.74,ml,40,61,0.01282,0.14,ci,ci37823704,2017-03-10T14:54:40.538Z,"4km SSW of Idyllwild, CA",earthquake,0.22,0.36,0.121,21,reviewed,ci,ci
2017-03-10T05:17:23.410Z,34.1556667,-117.4318333,5.9,0.7,ml,40,39,0.07341,0.18,ci,ci37823696,2017-03-10T14:49:19.504Z,"7km NNE of Fontana, CA",earthquake,0.22,0.58,0.085,12,reviewed,ci,ci
2017-03-10T04:44:45.700Z,18.6742,-64.2946,44,3.4,Md,5,345.6,0.70158424,0.2,pr,pr17069001,2017-03-10T07:43:21.852Z,"44km NE of Road Town, British Virgin Islands",earthquake,6.5,4.9,0,5,reviewed,pr,pr
2017-03-10T04:40:02.170Z,38.7639999,-122.7320023,2.63,0.73,md,7,121,0.01479,0.02,nc,nc72772321,2017-03-10T06:34:02.476Z,"2km SE of The Geysers, California",earthquake,0.4,0.76,0.19,4,automatic,nc,nc
2017-03-10T04:12:10.800Z,33.3971667,-116.3535,8.59,0.62,ml,17,171,0.1392,0.19,ci,ci37823680,2017-03-10T14:29:39.630Z,"16km N of Borrego Springs, CA",earthquake,0.46,1.32,0.143,18,reviewed,ci,ci
2017-03-10T03:58:59.410Z,33.502,-116.7911667,6.16,0.65,ml,26,60,0.07761,0.1,ci,ci37823672,2017-03-10T14:29:59.359Z,"10km NE of Aguanga, CA",earthquake,0.15,0.59,0.147,20,reviewed,ci,ci
2017-03-10T03:48:43.470Z,-28.8403,-67.6402,150.18,4.1,mb,,173,2.31,0.61,us,us1000882f,2017-03-10T04:36:10.040Z,"38km NNW of Chilecito, Argentina",earthquake,11.6,21.3,0.262,4,reviewed,us,us
